,time_usec,xacc,frequency,yacc,zacc,xgyro,ygyro,zgyro,temperature
935,354686200,48,26400.0,-53,-996,-22,-2,-1,4480
936,354786220,48,26400.0,-53,-996,-24,-10,-1,4480
937,354886237,48,26400.0,-53,-996,-24,-5,0,4480
938,354986207,48,26400.0,-54,-996,-25,-9,0,4480
939,355086167,47,26400.0,-54,-996,-24,-9,0,4480
940,355186203,48,26400.0,-53,-995,-24,-10,0,4480
941,355286255,47,26400.0,-53,-996,-22,-11,-1,4480
942,355386237,48,26400.0,-53,-996,-24,-9,0,4480
943,355486254,48,26400.0,-53,-996,-22,-7,-1,4432
944,355586184,48,26400.0,-53,-996,-25,-5,0,4480
945,355686226,48,26400.0,-54,-995,-27,-7,0,4480
946,355786246,48,26400.0,-53,-996,-24,-9,-1,4480
947,355886180,48,26400.0,-53,-996,-25,-7,0,4480
948,355986194,48,26400.0,-54,-996,-23,-11,0,4480
949,356086253,47,26400.0,-54,-996,-25,-7,0,4480
950,358186211,48,26500.0,-54,-997,-24,-6,-2,4480
951,358286245,48,26500.0,-54,-997,-20,-10,-3,4480
952,358386245,48,26500.0,-53,-996,-27,-9,0,4480
953,358486199,48,26500.0,-53,-997,-24,-9,-1,4480
954,358586204,48,26500.0,-53,-996,-24,-5,0,4480
955,358686247,48,26500.0,-53,-997,-23,-7,-1,4480
956,358786203,48,26500.0,-53,-997,-24,-7,0,4480
957,358886209,48,26500.0,-53,-997,-22,-9,0,4480
958,358986235,48,26500.0,-54,-996,-25,-6,-1,4480
959,359086243,48,26500.0,-54,-996,-28,-10,-1,4480
960,359186197,47,26500.0,-53,-997,-23,-11,0,4432
961,359286248,48,26500.0,-54,-997,-26,-7,0,4480
962,359386196,48,26500.0,-53,-997,-23,-7,-1,4480
963,359486259,48,26500.0,-54,-996,-24,-10,0,4480
964,359586212,48,26500.0,-54,-996,-24,-5,-2,4480
965,359686209,47,26500.0,-54,-997,-25,-6,0,4480
966,359786248,48,26500.0,-53,-997,-25,-7,-1,4432
967,359886241,48,26500.0,-53,-997,-24,-12,0,4480
968,359986176,48,26500.0,-54,-997,-23,-6,-2,4480
969,360086195,48,26500.0,-53,-997,-22,-7,-1,4480
970,360186273,48,26500.0,-53,-997,-22,-7,-3,4480
971,360286250,47,26500.0,-53,-997,-24,-10,0,4480
972,360386202,47,26500.0,-53,-997,-26,-10,0,4480
973,360486239,48,26500.0,-53,-997,-23,-6,-1,4480
974,360586197,48,26500.0,-53,-997,-24,-9,-2,4480
975,360686196,47,26500.0,-54,-997,-25,-5,0,4480
976,360786255,48,26500.0,-54,-997,-25,-7,0,4480
977,360886192,47,26500.0,-53,-997,-26,-7,0,4480
978,360986216,48,26500.0,-53,-997,-22,-7,-2,4480
979,361086272,48,26500.0,-53,-997,-24,-7,-1,4480
980,361186184,48,26500.0,-54,-998,-23,-12,0,4432
981,361286203,48,26500.0,-53,-997,-25,-6,0,4480
982,361386247,48,26500.0,-53,-998,-25,-9,-1,4480
983,361486176,48,26500.0,-54,-997,-23,-9,0,4480
984,361586203,48,26500.0,-54,-997,-23,-9,-1,4480
985,361686232,48,26500.0,-53,-996,-20,-10,1,4480
986,361786207,48,26500.0,-54,-997,-25,-7,-1,4480
987,361886236,47,26500.0,-53,-997,-24,-11,0,4480
988,361986252,48,26500.0,-53,-996,-25,-10,0,4480
989,362086205,48,26500.0,-53,-996,-25,-9,-1,4480
990,362186256,48,26500.0,-54,-997,-23,-9,0,4480
991,362286189,48,26500.0,-54,-997,-24,-9,-1,4480
992,362386186,48,26500.0,-54,-996,-25,-9,0,4480
993,362486226,48,26500.0,-54,-996,-23,-10,-1,4480
994,362586180,47,26500.0,-53,-996,-22,-12,0,4480
995,362686202,47,26500.0,-53,-996,-21,-11,0,4432
996,362786233,48,26500.0,-54,-996,-24,-9,0,4480
997,362886215,48,26500.0,-54,-996,-25,-9,0,4480
998,362986204,47,26500.0,-54,-996,-23,-7,-1,4480
999,363086206,47,26500.0,-54,-995,-23,-7,-1,4480
1000,365186201,47,26600.0,-54,-995,-22,-4,0,4480
1001,365286212,47,26600.0,-54,-996,-26,-9,-1,4480
1002,365386241,48,26600.0,-54,-996,-26,-7,-1,4480
1003,365486259,47,26600.0,-54,-996,-26,-9,0,4480
1004,365586253,48,26600.0,-53,-996,-24,-9,-1,4480
1005,365686195,47,26600.0,-53,-996,-23,-6,-1,4480
1006,365786184,48,26600.0,-54,-996,-24,-7,-1,4480
1007,365886244,48,26600.0,-54,-996,-22,-9,0,4480
1008,365986181,48,26600.0,-53,-996,-24,-9,-2,4480
1009,366086238,48,26600.0,-54,-996,-22,-4,0,4480
1010,366186201,48,26600.0,-54,-996,-25,-11,-1,4480
1011,366286204,48,26600.0,-53,-997,-22,-9,-2,4480
1012,366386205,48,26600.0,-54,-996,-23,-6,0,4480
1013,366486250,48,26600.0,-53,-996,-25,-10,0,4480
1014,366586261,48,26600.0,-54,-997,-23,-10,0,4480
1015,366686217,47,26600.0,-54,-997,-24,-7,-1,4480
1016,366786260,48,26600.0,-54,-997,-22,-7,-2,4480
1017,366886185,48,26600.0,-53,-997,-24,-6,0,4480
1018,366986213,48,26600.0,-54,-997,-24,-4,0,4480
1019,367086243,48,26600.0,-54,-997,-25,-5,-1,4480
1020,367186207,48,26600.0,-53,-997,-23,-6,-1,4480
1021,367286205,47,26600.0,-54,-997,-23,-6,0,4480
1022,367386259,48,26600.0,-54,-997,-24,-10,0,4480
1023,367486181,48,26600.0,-53,-997,-24,-9,-2,4480
1024,367586183,48,26600.0,-53,-997,-24,-7,0,4480
1025,367686200,48,26600.0,-54,-997,-25,-9,0,4480
1026,367786252,48,26600.0,-54,-997,-26,-10,-1,4480
1027,367886250,47,26600.0,-53,-997,-26,-11,0,4480
1028,367986208,48,26600.0,-54,-997,-28,-7,-2,4480
1029,368086238,48,26600.0,-53,-996,-23,-10,-2,4480
1030,368186221,47,26600.0,-53,-996,-24,-11,0,4480
1031,368286212,47,26600.0,-53,-996,-25,-6,-1,4480
1032,368386262,48,26600.0,-54,-996,-24,-5,-1,4480
1033,368486177,48,26600.0,-53,-997,-25,-7,-2,4480
1034,368586204,47,26600.0,-53,-997,-25,-9,0,4480
1035,368686266,48,26600.0,-53,-997,-22,-7,0,4480
1036,368786183,48,26600.0,-54,-997,-25,-10,-1,4480
1037,368886225,47,26600.0,-53,-997,-23,-11,0,4480
1038,368986244,48,26600.0,-53,-997,-23,-7,-1,4480
1039,369086180,47,26600.0,-53,-997,-23,-6,-2,4480
1040,369186207,48,26600.0,-54,-996,-23,-9,-3,4480
1041,369286240,48,26600.0,-54,-996,-25,-10,0,4480
1042,369386254,48,26600.0,-53,-996,-25,-7,0,4480
1043,369486174,48,26600.0,-53,-997,-25,-7,-1,4480
1044,369586195,48,26600.0,-53,-997,-25,-6,-2,4480
1045,369686234,48,26600.0,-54,-996,-27,-10,0,4480
1046,369786191,48,26600.0,-53,-996,-24,-7,0,4480
1047,369886209,48,26600.0,-53,-996,-25,-9,0,4528
1048,369986252,48,26600.0,-54,-997,-24,-9,0,4480
1049,370086246,48,26600.0,-53,-997,-23,-10,0,4480
1050,372386183,48,26700.0,-53,-996,-23,-7,0,4480
1051,372486185,47,26700.0,-54,-996,-24,-9,-1,4480
1052,372586213,48,26700.0,-53,-996,-23,-5,0,4480
1053,372686205,48,26700.0,-53,-996,-23,-7,-3,4480
1054,372786261,48,26700.0,-53,-996,-22,-7,-1,4480
1055,372886180,48,26700.0,-53,-996,-25,-7,-1,4480
1056,372986209,47,26700.0,-53,-996,-24,-9,0,4480
1057,373086255,48,26700.0,-53,-996,-23,-9,-2,4480
1058,373186248,48,26700.0,-53,-997,-23,-10,-1,4480
1059,373286185,48,26700.0,-53,-996,-25,-10,0,4480
1060,373386190,48,26700.0,-54,-997,-23,-6,-1,4480
1061,373486203,48,26700.0,-54,-996,-24,-10,1,4480
1062,373586247,48,26700.0,-53,-997,-24,-10,-1,4480
1063,373686226,48,26700.0,-53,-996,-25,-5,-1,4480
1064,373786203,48,26700.0,-53,-997,-25,-10,-1,4480
1065,373886237,48,26700.0,-53,-996,-23,-10,-1,4480
1066,373986207,48,26700.0,-53,-997,-25,-10,-2,4480
1067,374086191,48,26700.0,-53,-996,-22,-6,-1,4480
1068,374186245,48,26700.0,-53,-996,-22,-6,-1,4480
1069,374286182,48,26700.0,-53,-997,-23,-10,-4,4480
