,Unnamed: 0,time_usec,Frequency,xacc,yacc,zacc,xgyro,ygyro,zgyro,temperature
147,7,14401085357,1990.0,-13,-3,-1002,-24,-7,0,4528
148,8,14401285338,1990.0,-13,-2,-1002,-28,-8,-4,4528
149,9,14401485372,1990.0,-13,-3,-1002,-25,-8,-1,4528
150,0,14399685373,2000.0,-13,-2,-1002,-23,-6,-3,4480
151,1,14399885331,2000.0,-13,-3,-1002,-26,-7,0,4528
152,2,14400085347,2000.0,-13,-3,-1002,-23,-9,0,4528
153,3,14400285326,2000.0,-13,-2,-1002,-25,-8,-4,4480
154,4,14400485325,2000.0,-13,-2,-1002,-25,-9,-1,4528
155,5,14400685365,2000.0,-100,-2,-1002,-21,-6,-3,4528
156,6,14400885328,2000.0,-13,-2,-1002,-24,-8,-1,4480
157,7,14401085357,2000.0,-13,-3,-1002,-24,-7,0,4528
158,8,14401285338,2000.0,-13,-2,-1002,-28,-8,-4,4528
159,9,14401485372,2000.0,-13,-3,-1002,-25,-8,-1,4528
